Team,Winning Percentage,Total Win Shares,First Round Win Shares,Top 5 Win Shares,5-14 Win Shares,15-30 Win Shares,Second Round Win Shares,Undrafed Win Shares,Domestic Win Shares,International Win Shares,Overseas Prospect Win Shares,High School Win Shares,No College Win Shares,1 College Year Win Shares,2 College Years Win Shares,3 College Years Win Shares,4 College Years Win Shares,Drafted Win Shares,Traded Win Shares,Signed Win Shares
ATL,0.5682926829268292,227.39999999999998,123.5,46.8,13.9,62.80000000000001,87.09999999999998,16.8,169.39999999999998,58.000000000000014,28.299999999999997,19.1,47.400000000000006,4.8,29.400000000000002,79.30000000000001,57.1,84.5,42.29999999999999,97.69999999999997
BOS,0.5061124694376528,209.49999999999997,130.50000000000003,29.799999999999997,44.0,56.7,75.3,3.6999999999999993,180.99999999999997,28.499999999999996,7.500000000000001,17.1,24.599999999999998,21.899999999999995,70.8,70.9,21.299999999999997,60.800000000000004,106.00000000000001,42.69999999999999
BRK,0.4195121951219512,168.00000000000009,118.4,28.800000000000004,58.2,31.400000000000002,24.600000000000005,25.0,154.00000000000009,14.0,12.1,15.8,27.900000000000006,12.799999999999999,55.4,35.199999999999996,36.69999999999999,46.09999999999999,69.60000000000002,52.300000000000004
CHO,0.44146341463414634,185.50000000000006,151.29999999999998,49.699999999999996,67.10000000000001,34.50000000000001,18.1,16.099999999999998,163.50000000000006,22.0,21.299999999999997,15.3,36.6,35.0,35.199999999999996,50.50000000000001,28.2,93.79999999999998,32.7,58.99999999999999
CHI,0.551219512195122,222.39999999999998,203.89999999999998,33.8,54.50000000000001,115.60000000000002,12.6,5.8999999999999995,165.59999999999997,56.8,39.2,0,39.2,8.999999999999998,20.199999999999996,129.4,22.099999999999994,119.20000000000003,29.6,73.6
CLE,0.5317073170731708,223.50000000000003,179.8,137.60000000000002,16.4,25.8,25.299999999999997,18.399999999999995,124.30000000000003,99.2,19.499999999999996,54.699999999999996,74.2,99.2,7.100000000000001,15.4,27.6,89.3,62.5,71.6
DAL,0.524390243902439,213.00000000000006,137.10000000000002,47.699999999999996,70.99999999999999,18.39999999999999,42.5,33.4,142.80000000000004,70.2,50.0,19.799999999999997,69.80000000000001,27.7,33.5,36.1,45.900000000000006,40.9,46.199999999999996,125.1
DEN,0.47804878048780486,199.29999999999995,162.5,0.4,48.9,113.19999999999999,27.799999999999997,9.0,141.09999999999997,58.19999999999999,55.79999999999999,0,55.79999999999999,14.7,50.39999999999999,28.6,49.800000000000004,85.5,78.30000000000001,35.5
DET,0.4170731707317073,183.0,130.3,-0.3,95.3,35.3,27.799999999999997,24.900000000000002,148.6,34.400000000000006,14.9,9.299999999999999,24.199999999999996,48.1,46.60000000000001,27.299999999999997,36.79999999999999,93.49999999999999,52.10000000000001,37.4
GSW,0.7439024390243902,301.39999999999986,246.19999999999993,41.3,150.2,54.7,48.400000000000006,6.8,265.39999999999986,35.99999999999999,11.3,13.1,24.4,13.5,72.10000000000001,122.6,68.80000000000001,166.1,69.59999999999998,65.7
HOU,0.6121951219512195,252.7,164.89999999999998,89.6,22.999999999999996,52.300000000000004,71.3,16.5,213.79999999999998,38.89999999999999,36.8,21.099999999999998,57.900000000000006,22.700000000000003,114.09999999999998,22.0,36.0,43.0,121.69999999999997,88.0
IND,0.5623471882640587,236.60000000000002,170.10000000000002,0.7,62.9,106.5,54.199999999999996,12.3,213.50000000000003,23.099999999999998,23.099999999999998,19.7,42.79999999999999,28.6,56.199999999999996,6.800000000000001,102.20000000000002,75.4,73.69999999999999,86.40000000000002
LAC,0.6658536585365854,281.2,194.9,119.10000000000001,55.5,20.300000000000008,84.40000000000003,1.9000000000000001,272.0,9.200000000000001,3.4,0.09999999999999998,3.4999999999999996,86.50000000000003,120.99999999999999,18.700000000000003,51.5,101.2,101.80000000000003,78.1
LAL,0.33170731707317075,136.70000000000005,86.10000000000002,24.099999999999998,34.699999999999996,27.299999999999997,39.50000000000001,11.100000000000001,119.70000000000003,17.000000000000004,8.700000000000001,27.5,36.2,8.399999999999999,17.499999999999996,43.59999999999999,28.9,33.900000000000006,36.49999999999999,66.30000000000001
MEM,0.6,228.29999999999995,157.6,56.3,14.599999999999998,86.70000000000002,59.000000000000014,11.7,185.69999999999996,42.6,42.6,3.2,45.800000000000004,86.09999999999998,24.099999999999998,34.8,37.5,46.5,124.9,56.900000000000006
MIA,0.6,247.30000000000007,145.6,101.69999999999999,25.4,18.5,66.2,35.5,218.90000000000006,28.4,15.4,44.7,60.1,82.70000000000002,43.70000000000001,26.6,34.199999999999996,45.9,82.60000000000001,118.8
MIL,0.4121951219512195,175.89999999999998,122.30000000000001,18.0,56.099999999999994,48.20000000000001,47.4,6.199999999999998,122.39999999999998,53.50000000000001,49.5,10.399999999999999,59.9,25.900000000000002,18.200000000000003,52.19999999999999,19.7,80.89999999999999,58.30000000000001,36.69999999999999
MIN,0.35853658536585364,175.0,133.29999999999998,72.89999999999999,26.1,34.300000000000004,34.3,7.3999999999999995,93.80000000000003,81.19999999999997,47.1,1.4000000000000001,48.5,62.79999999999999,3.9000000000000004,43.59999999999999,16.200000000000003,113.30000000000001,30.999999999999993,30.7
NOP,0.4146341463414634,179.39999999999995,138.69999999999996,59.900000000000006,15.6,63.2,23.1,17.6,159.49999999999994,19.900000000000002,15.299999999999999,0.7000000000000001,16.0,81.60000000000001,34.699999999999996,4.1,39.40000000000001,53.70000000000001,76.99999999999999,48.7
NYK,0.4170731707317073,177.9,136.00000000000003,81.10000000000002,17.9,36.99999999999999,14.5,27.399999999999995,145.70000000000002,32.199999999999996,31.499999999999996,34.800000000000004,66.29999999999998,37.6,17.399999999999995,24.900000000000006,30.900000000000006,15.9,81.5,80.5
OKC,0.6487804878048781,278.9,261.7,138.5,54.1,69.10000000000001,8.799999999999999,8.4,185.4,93.5,61.0,3.9999999999999996,65.0,77.49999999999999,73.8,35.60000000000001,26.999999999999996,196.0,65.2,17.700000000000003
ORL,0.32195121951219513,140.8,121.8,21.0,21.700000000000003,79.09999999999998,12.900000000000002,6.1,90.39999999999999,50.400000000000006,20.000000000000004,0.7,20.700000000000003,29.700000000000003,7.599999999999999,58.99999999999999,23.8,51.8,63.100000000000016,25.9
PHI,0.2658536585365854,111.00000000000001,58.699999999999974,10.500000000000002,32.3,15.9,22.500000000000004,29.799999999999994,98.60000000000001,12.4,7.5,5.300000000000001,12.8,34.29999999999999,8.700000000000003,27.2,28.299999999999994,46.79999999999999,30.1,33.99999999999997
PHO,0.3878048780487805,166.7,102.60000000000001,14.0,44.199999999999996,44.400000000000006,54.6,9.500000000000004,126.5,40.2,32.3,18.599999999999998,50.9,29.8,15.3,45.0,25.7,33.6,57.1,75.99999999999999
POR,0.5439024390243903,221.2,187.99999999999997,26.599999999999998,93.00000000000001,68.4,14.3,18.9,197.6,23.599999999999998,23.599999999999998,3.5,27.099999999999998,17.0,64.2,19.400000000000002,93.6,126.50000000000003,42.7,51.99999999999999
SAC,0.36585365853658536,161.7,124.00000000000001,39.0,41.89999999999999,43.10000000000001,27.599999999999998,10.1,149.6,12.100000000000003,7.600000000000001,1.7,9.3,46.1,32.0,31.199999999999992,43.09999999999999,68.4,38.79999999999999,54.5
SAS,0.7390243902439024,304.90000000000003,200.90000000000003,54.2,0.4,146.3,83.89999999999999,20.1,137.70000000000002,167.20000000000002,105.00000000000001,0.3,105.30000000000001,12.3,100.0,1.0000000000000002,86.3,166.8,8.1,129.99999999999997
TOR,0.5804878048780487,248.59999999999997,199.5,33.8,86.79999999999998,78.9,39.9,9.199999999999998,179.8,68.79999999999997,53.09999999999999,25.4,78.5,43.4,75.6,17.9,33.2,97.69999999999999,107.00000000000001,43.90000000000001
UTA,0.48048780487804876,207.09999999999994,172.19999999999996,41.1,63.50000000000001,67.6,24.0,10.899999999999999,152.09999999999994,55.00000000000001,51.7,7.7,59.400000000000006,36.0,67.69999999999999,12.9,31.099999999999994,118.5,54.60000000000001,34.90000000000001
WAS,0.5097560975609756,211.7,148.90000000000003,82.10000000000001,44.4,22.399999999999995,54.699999999999996,8.1,160.6,51.1,51.2,12.100000000000001,63.3,74.9,20.7,28.7,24.099999999999998,88.8,84.7,38.2
